Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource,Global_KPI,Global_KVI
0,0,0,[0.47368421 0.75       0.4375     0.52631579],[1.         0.42857143 0.53411429],0.546875,0.6476862877876304,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[10.0, 14.0, 10.0, 9.0]","[5.0, 1.0, 0.16693100380554063]"
0,1,0,[0.26315789 1.         0.125      0.36842105],[1.         1.         0.58774296],0.43914473684210525,0.853955177556639,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[6.0, 19.0, 5.0, 6.0]","[5.0, 5.0, 0.1437256249066081]"
0,2,0,[0.21052632 0.6        1.         1.        ],[1.10344828 1.         0.5419602 ],0.7026315789473684,0.8729847967441998,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[5.0, 11.0, 19.0, 18.0]","[2.0, 5.0, 0.6325535178856858]"
0,3,1,[0.63157895 0.9        0.6875     0.57894737],[1.13793103 0.85714286 0.80277697],0.6995065789473685,0.9232907852666858,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[13.0, 17.0, 14.0, 10.0]","[1.0, 4.0, 0.050679393051513824]"
0,4,0,[0.21052632 1.         0.8125     0.73684211],[1.10344828 0.71428571 0.66269861],0.6899671052631579,0.8185427590443306,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[5.0, 19.0, 16.0, 13.0]","[2.0, 3.0, 0.11129196085944555]"
0,5,0,[0.05263158 0.5        0.625      0.78947368],[1.13793103 0.42857143 1.        ],0.4917763157894737,0.8469458128078817,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[2.0, 9.0, 13.0, 14.0]","[1.0, 1.0, 0.8307495028242984]"
0,6,0,[0.89473684 0.7        0.0625     0.47368421],[1.10344828 1.         0.5740721 ],0.5327302631578947,0.8835817254367354,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[18.0, 13.0, 2.0, 8.0]","[2.0, 5.0, 0.6464484908837836]"
0,7,0,[1.         0.45       0.5625     0.42105263],[1.03448276 0.42857143 0.85602706],0.6083881578947369,0.7652968125110748,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[20.0, 8.0, 12.0, 7.0]","[4.0, 1.0, 0.7684517330020134]"
0,8,0,[0.21052632 0.85       0.25       0.26315789],[1.13793103 0.42857143 0.01554969],0.3934210526315789,0.5220772105027232,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[5.0, 16.0, 7.0, 4.0]","[1.0, 1.0, 0.40477320460313393]"
0,9,0,[0.78947368 1.         0.5625     0.47368421],[1.         0.57142857 0.04789608],0.7064144736842106,0.5343771353477215,0.001,0.001,"[1.0, 1.0, 3.0, 1.0]","[34.0, 2.0, 0.3980447803133163]","[16.0, 19.0, 12.0, 8.0]","[5.0, 2.0, 0.3773199198141473]"
