Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource,Global_KPI,Global_KVI
0,0,0,[0.13333333 0.7        0.53333333 0.88      ],[1.         0.66666667 1.        ],0.5616666666666666,0.8800000000000001,0.001,0.001,"[4.0, 1.0, 3.0, 5.0]","[11.0, 5.0, 0.893357606356489]","[6.0, 13.0, 11.0, 17.0]","[5.0, 1.0, 0.6193825393813496]"
0,1,1,[1.  1.  0.4 1. ],[1.66666667 1.         2.38580256],0.85,1.6673148458129123,0.001,0.001,"[4.0, 1.0, 3.0, 5.0]","[11.0, 5.0, 0.893357606356489]","[19.0, 19.0, 9.0, 20.0]","[1.0, 4.0, 0.23970718935008245]"
0,2,0,[0.6        0.65       0.06666667 0.32      ],[1.66666667 0.88888889 1.70485213],0.4091666666666667,1.4059345356063457,0.001,0.001,"[4.0, 1.0, 3.0, 5.0]","[11.0, 5.0, 0.893357606356489]","[13.0, 12.0, 2.0, 3.0]","[1.0, 3.0, 0.4262706303775723]"
0,3,0,[0.33333333 0.85       1.         0.64      ],[1.5        0.66666667 2.80898294],0.7058333333333334,1.641964369983436,0.001,0.001,"[4.0, 1.0, 3.0, 5.0]","[11.0, 5.0, 0.893357606356489]","[9.0, 16.0, 18.0, 11.0]","[2.0, 1.0, 0.12376631741776224]"
0,4,0,[0.         0.15       0.13333333 0.44      ],[1.         1.         1.46609571],0.18083333333333335,1.1438115844601788,0.001,0.001,"[4.0, 1.0, 3.0, 5.0]","[11.0, 5.0, 0.893357606356489]","[4.0, 2.0, 5.0, 6.0]","[5.0, 4.0, 0.4916839358842896]"
1,0,0,[0.13333333 0.75       0.53333333 0.88      ],[1.  0.5 1. ],0.5741666666666666,0.825,0.001,0.001,"[4.0, 5.0, 3.0, 5.0]","[39.0, 2.0, 0.7846426033685411]","[6.0, 13.0, 11.0, 17.0]","[5.0, 1.0, 0.6193825393813496]"
1,1,0,[1.  1.  0.4 1. ],[1.11764706 1.         3.29744163],0.85,1.7869792658153822,0.001,0.001,"[4.0, 5.0, 3.0, 5.0]","[39.0, 2.0, 0.7846426033685411]","[19.0, 19.0, 9.0, 20.0]","[1.0, 4.0, 0.23970718935008245]"
1,2,0,[0.6        0.70833333 0.06666667 0.32      ],[1.11764706 0.83333333 2.16853343],0.42375,1.3594395604946623,0.001,0.001,"[4.0, 5.0, 3.0, 5.0]","[39.0, 2.0, 0.7846426033685411]","[13.0, 12.0, 2.0, 3.0]","[1.0, 3.0, 0.4262706303775723]"
1,3,1,[0.33333333 0.875      1.         0.64      ],[1.08823529 0.5        3.99900781],0.7120833333333333,1.84379022313056,0.001,0.001,"[4.0, 5.0, 3.0, 5.0]","[39.0, 2.0, 0.7846426033685411]","[9.0, 16.0, 18.0, 11.0]","[2.0, 1.0, 0.12376631741776224]"
1,4,0,[0.         0.29166667 0.13333333 0.44      ],[1.         1.         1.77271302],0.21625,1.2449952973350893,0.001,0.001,"[4.0, 5.0, 3.0, 5.0]","[39.0, 2.0, 0.7846426033685411]","[4.0, 2.0, 5.0, 6.0]","[5.0, 4.0, 0.4916839358842896]"
