Service_ID,Resource_ID,Assigned,Normalized_KPI,Normalized_KVI,Min_KPI,Min_KVI,KPI_Service,KVI_Service,KPI_Resource,KVI_Resource
0,0,0,1.0,0.6673333333333333,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[3.0, 11.0, 20.0, 9.0]","[1.0, 4.0, 0.8992176899901486]"
0,1,0,0.9,0.6966666666666668,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[12.0, 18.0, 16.0, 3.0]","[5.0, 3.0, 0.701747190187245]"
0,2,0,1.0,0.6966666666666668,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[3.0, 13.0, 16.0, 18.0]","[5.0, 4.0, 0.912947536588053]"
0,3,0,0.95,0.5145889066799344,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[4.0, 7.0, 8.0, 4.0]","[5.0, 5.0, 0.2748728761717458]"
0,4,1,1.0,0.6966666666666668,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[2.0, 14.0, 12.0, 19.0]","[5.0, 3.0, 0.6684207568078719]"
0,5,0,0.8333333333333334,0.19784901150035297,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[6.0, 2.0, 1.0, 19.0]","[2.0, 1.0, 0.13598929821251754]"
0,6,0,1.0,0.682,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[11.0, 20.0, 13.0, 17.0]","[3.0, 3.0, 0.7360923475293826]"
0,7,0,1.0,0.6670295208625874,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[5.0, 16.0, 17.0, 13.0]","[1.0, 3.0, 0.6126498579314162]"
0,8,0,1.0,0.43294197583294436,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[10.0, 19.0, 5.0, 6.0]","[1.0, 1.0, 0.5864720227380765]"
0,9,0,1.0,0.6893333333333334,0.001,0.001,"[1.0, 2.0, 3.0, 5.0]","[45.0, 3.0, 0.6132144100071778]","[12.0, 15.0, 3.0, 7.0]","[4.0, 3.0, 0.6813092804274511]"
1,0,0,0.9375,0.680625,0.001,0.001,"[4.0, 5.0, 4.0, 2.0]","[16.0, 4.0, 0.7865760667880612]","[3.0, 11.0, 20.0, 9.0]","[1.0, 4.0, 0.8992176899901486]"
1,1,1,1.0,0.6450359063824185,0.001,0.001,"[4.0, 5.0, 4.0, 2.0]","[16.0, 4.0, 0.7865760667880612]","[12.0, 18.0, 16.0, 3.0]","[5.0, 3.0, 0.701747190187245]"
1,2,0,0.9375,0.763125,0.001,0.001,"[4.0, 5.0, 4.0, 2.0]","[16.0, 4.0, 0.7865760667880612]","[3.0, 13.0, 16.0, 18.0]","[5.0, 4.0, 0.912947536588053]"
1,3,0,1.0,0.5484451234650799,0.001,0.001,"[4.0, 5.0, 4.0, 2.0]","[16.0, 4.0, 0.7865760667880612]","[4.0, 7.0, 8.0, 4.0]","[5.0, 5.0, 0.2748728761717458]"
1,4,0,0.875,0.6310541397363754,0.001,0.001,"[4.0, 5.0, 4.0, 2.0]","[16.0, 4.0, 0.7865760667880612]","[2.0, 14.0, 12.0, 19.0]","[5.0, 3.0, 0.6684207568078719]"
